Link,Title,Author,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://discover.cuyahogalibrary.org/GroupedWork/dae0d602-7bbe-5b06-2d4d-4892e72343ae-eng,"Winter games: 2023",,"Merge Games",2022,"Knutsford, Cheshire","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/4d7317f2-ffc6-9c2f-9f50-70789451c755-zxx,"Crash team rumble",,"Activision Publishing",2023,"Los Angeles, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/ad59057d-437a-9f12-150a-e860b546ac45-eng,"Demon Slayer: the hinokami chronicles",,Sega,2021,"Irvine, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/ea364378-1e7c-29cc-1d44-e07ed8508a31-eng,"NHL 22",,"Electronic Arts, Inc",2021,"Redwood City, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/51db7825-4f32-6d14-0cfd-73be111c3066-eng,"Star Wars: outlaws",,"Ubisoft, Inc",2024,"San Francisco, CA","Xbox Series X;PlayStation 5","PlayStation 5::Brooklyn Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma-Powers Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/d30539e6-238c-2865-0c9b-c7af25088ef7-eng,"LEGO Horizon adventures",,"Sony Interactive Entertainment LLC; Sony Interactive Entertainment",2024,"San Mateo, CA; [San Mateo, California?]","PlayStation 5;Nintendo Switch","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/5c0a1463-1ac8-5d7c-a26d-c686622ac2c8-eng,"Horizon: Forbidden West",,"Sony Interactive Entertainment LLC",2021,"Walnut Creek, CA","PlayStation 4;PlayStation 5","PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Independence Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Middleburg Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/75af8aa2-8f3a-45f6-afdc-e35c09c0ae1d-eng,"Armored core: VI,Fires of Rubicon",,"Namco Bandai Entertainment America Inc; Bandai Namco Entertainment America Inc",2023,"Irvine, CA","PlayStation 4;PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/84c993c9-c43b-8967-b04c-1b771714d856-eng,"Astro Bot",,"Sony Interactive Entertainment LLC",2024,"San Mateo, CA","PlayStation 5","PlayStation 5::Brooklyn Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Independence Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit"
https://discover.cuyahogalibrary.org/GroupedWork/08ce96c6-7aa5-addf-a089-cfc4d30ebda3-eng,"Madden NFL 25",,"Electronic Arts",2024,"Redwood City, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit"
https://discover.cuyahogalibrary.org/GroupedWork/05d3d373-5626-59d4-3b4c-4dfbd2b534e3-eng,"Spider-Man 2",,"Sony Interactive Entertainment LLC",2023,"San Mateo, CA","PlayStation 5","PlayStation 5::Beachwood Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Brooklyn Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/8db7c2a9-6648-6317-263b-011bfcb34090-eng,"Sonic: superstars",,,2023,California,"PlayStation 5","PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma-Powers Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Richmond Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/44ddfcc3-673a-70dc-64d8-62295177649d-eng,"Tekken 8",,"Bandai Namco Entertainment America Inc",2024,"Irvine, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Brecksville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/dc6e46cb-122d-6859-7305-73aafb821d82-eng,"No man's sky",,"Bandai Namco Entertainment America Inc",2022,"Irvine, California","PlayStation 5","PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Independence Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/5951b809-dcec-064d-0aed-f1ef5d771e5b-eng,"Final fantasy VII: Rebirth",,"Square Enix",2024,"El Segundo, CA","PlayStation 5","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/da8b6862-fe42-345c-c011-860c043d881a-eng,Hades,,"Sony Interactive Entertainment LLC",2021,"San Mateo, California","PlayStation 5","PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/394cd32b-9e34-09c6-42fa-7ebbd1e7e614-eng,"Fantasian neo dimension",,"Square Enix, Inc",2024,"[El Segundo, CA]","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/45cda5bf-73fc-cfa9-6f91-6160cbbfebb7-eng,"NBA 2K25",,2K,2024,"Novato, CA","PlayStation 5","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/384bd11a-7a6d-add3-1cd0-ddef8919c2be-eng,"SpongeBob Squarepants: The Patrick Star game",,"Outright Games Limited",2024,"[London, UK]","PlayStation 5","PlayStation 5::Parma Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/3441c809-e607-c582-bd55-f219b1d3964c-eng,"Black myth: Wukong",,"PM Studios, Inc",2024,"Las Vegas, NV","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::South Euclid-Lyndhurst Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/dda9063c-351a-a623-8ebc-086dd8f6d177-zxx,"Midnight Suns",,2K,2022,"Novato, CA","PlayStation 5","PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/e8b3cf4b-0cf4-8bb3-29a6-40dd5207329f-eng,"30 sport games in 1",,"Maximum Games",2024,"Walnut Creek, CA","PlayStation 5","PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::South Euclid-Lyndhurst Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/70691c46-384e-688e-3b6c-2b623f1107db-eng,"Agatha Christie: Murder on the Orient Express",,"Microids SA",2023,"Paris, France","PlayStation 5","PlayStation 5::Middleburg Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Warrensville Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/068ea08d-8850-7381-1e85-0c000d52f6a6-eng,"Gran turismo 7: the real driving simulator",,"Sony Interactive Entertainment LLC",2022,"[San Mateo, CA]","PlayStation 5","PlayStation 5::Chagrin Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit,PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/8477a383-822b-f836-f961-f677e8e6c956-eng,"Dreamlight Valley",,"Nighthawk Interactive",2023,"Edison, NJ","PlayStation 5","PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit,PlayStation 5::Parma-Powers Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/03541289-71ea-dc2c-c7a0-5801d171fbd5-eng,"Octopath traveler II",,"Square Enix",2023,"El Segundo, CA","PlayStation 5","PlayStation 5::Parma Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
